Tite,Price,ImageURL,Link
TEKKEN 7,$18.99,https://www.hrkgame.com/media/games/.thumbnails/header_5sHUCwO.jpg/header_5sHUCwO-460x215.jpg,/games/product/tekken-7/
MONSTER HUNTER: WORLD,$37.99,https://www.hrkgame.com/media/games/.thumbnails/header_DI4ErKR.jpg/header_DI4ErKR-460x215.jpg,/games/product/monster-hunter-world/
Tom Clancy’s The Division® 2 EUROPE,$49.99,https://www.hrkgame.com/media/games/.thumbnails/header_1BftVv3.jpg/header_1BftVv3-460x215.jpg,/games/product/tom-clancys-the-division-2/
Killing Floor 2,$6.2,https://www.hrkgame.com/media/games/.thumbnails/header_qEKKIcK.jpg/header_qEKKIcK-460x215.jpg,/games/product/killing-floor-2/
DiRT 3 Complete Edition,$1.79,https://www.hrkgame.com/media/games/.thumbnails/header_bVuklDc.jpg/header_bVuklDc-460x215.jpg,/games/product/dirt-3-complete-edition/
Lords Of The Fallen Digital Deluxe Edition,$3.99,https://www.hrkgame.com/media/games/.thumbnails/lorddelux_cover.jpg/lorddelux_cover-460x215.jpg,/games/product/lords-of-the-fallen-digital-deluxe-edition/
Euro Truck Simulator 2 - Italia,$8.99,https://www.hrkgame.com/media/games/.thumbnails/header_ruYMknx.jpg/header_ruYMknx-460x215.jpg,/games/product/euro-truck-simulator-2-italia/
TITANFALL® 2,$10.99,https://www.hrkgame.com/media/games/.thumbnails/t.jpg/t-460x215.jpg,/games/product/titanfall-2/
Northgard,$17.99,https://www.hrkgame.com/media/games/.thumbnails/header_kQQgObA.jpg/header_kQQgObA-460x215.jpg,/games/product/northgard/
Dead by Daylight,$11.99,https://www.hrkgame.com/media/games/.thumbnails/header_n3SVEry.jpg/header_n3SVEry-460x215.jpg,/games/product/dead-by-daylight/
Space Engineers,$11.99,https://www.hrkgame.com/media/games/.thumbnails/header_8PjCObW.jpg/header_8PjCObW-460x215.jpg,/games/product/space-engineers/
The Bureau: XCOM Declassified,$1.29,https://www.hrkgame.com/media/games/.thumbnails/header_BlPwRfB.jpg/header_BlPwRfB-460x215.jpg,/games/product/the-bureau-xcom-declassified/
Euro Truck Simulator 2 - Vive la France !,$5.99,https://www.hrkgame.com/media/games/.thumbnails/header_7YFfiRX.jpg/header_7YFfiRX-460x215.jpg,/games/product/euro-truck-simulator-2-vive-la-france/
COD®: Modern Warfare® 3,$9.99,https://www.hrkgame.com/media/games/.thumbnails/header_f6jue3o.jpg/header_f6jue3o-460x215.jpg,/games/product/call-of-duty-modern-warfare-3/
Wolfenstein: The New Order,$3.99,https://www.hrkgame.com/media/games/.thumbnails/header_myv6x6R.jpg/header_myv6x6R-460x215.jpg,/games/product/wolfenstein-the-new-order/
Prey Day One Edition,$9.99,https://www.hrkgame.com/media/games/.thumbnails/preydoe_cover.jpg/preydoe_cover-460x215.jpg,/games/product/prey-day-one-edition/
Just Cause 3,$5.99,https://www.hrkgame.com/media/games/.thumbnails/header_hBH2vKi.jpg/header_hBH2vKi-460x215.jpg,/games/product/just-cause-3/
The Witcher 3: Wild Hunt - Game of the Year Edition,$14.99,https://www.hrkgame.com/media/games/.thumbnails/w1.jpg/w1-460x215.jpg,/games/product/the-witcher-3-wild-hunt-game-of-the-year-edition/
Diablo 3 Battlechest,$21.99,https://www.hrkgame.com/media/games/.thumbnails/diablo_3_battlechest-460x215.jpg/diablo_3_battlechest-460x215-460x215.jpg,/games/product/diablo-3-battlechest-eu/
